name,goals,assists,keyPasses,successfulDribbles,shotsOnTarget,minutesPlayed,accurateCrosses,bigChancesMissed,penaltiesTaken,penaltyGoals,headedGoals,touches,wasFouled,leftFootGoals,rightFootGoals,passing_accuracy
Cristiano Ronaldo,80,20,83,78,130,7088,17,33,8,9,11,1513,88,7,35,83.91
Lionel Messi,59,18,105,209,104,5768,17,17,7,7,0,2434,100,36,5,83.5
Robert Lewandowski,59,12,64,42,111,6294,6,39,10,10,13,1209,70,5,29,78.17
Karim Benzema,36,9,70,72,71,5188,4,32,0,0,9,1208,14,3,13,84.61
Neymar,35,24,127,226,62,5271,47,18,4,2,1,1872,158,7,13,79.04
Sergio Agüero,32,7,26,62,49,3438,3,21,9,6,1,579,25,1,18,80.85
Edinson Cavani,30,3,18,5,36,4230,1,16,3,3,5,399,26,1,14,82.5
Thomas Müller,30,12,75,18,48,4892,23,17,3,1,1,1204,25,5,12,77.65
Mohamed Salah,27,9,78,94,56,4370,17,19,3,3,0,1611,36,17,5,75.11
Luis Suárez,25,16,68,45,62,5044,3,25,1,1,3,1348,93,6,9,74.22
Antoine Griezmann,23,7,72,32,58,4791,20,15,6,4,2,1212,47,18,1,80.57
Raheem Sterling,21,13,85,109,46,3844,16,13,0,0,0,1416,73,4,17,82.59
Harry Kane,20,3,36,43,48,2087,3,13,3,3,5,764,45,5,10,77.03
Álvaro Morata,19,4,22,31,32,2854,5,18,0,0,5,543,53,4,4,72.73
Heung-Min Son,19,4,20,44,40,3413,4,9,0,0,0,920,19,7,7,82.83
Kylian Mbappé,19,14,54,89,56,2727,8,26,0,0,2,1271,38,3,14,81.88
Mario Mandžukić,18,4,27,4,27,3775,4,9,0,0,3,436,36,1,5,67.15
Gonzalo Higuaín,17,6,23,46,38,2963,0,13,3,2,0,553,31,3,9,79.56
Edin Džeko,17,7,38,21,37,2899,2,11,1,0,3,673,31,4,8,67.42
Ángel Di María,17,15,86,73,46,3930,54,12,1,0,1,1299,40,12,1,82.68
Zlatan Ibrahimović,17,3,12,12,16,2042,2,9,1,0,0,17,13,0,5,79.44
Sadio Mané,17,4,41,91,36,3332,4,18,1,0,3,1746,63,3,11,77.99
Dries Mertens,16,7,41,14,41,2504,10,13,3,2,1,665,32,3,12,74.79
Gareth Bale,16,10,50,48,31,3752,19,9,0,0,0,528,23,8,0,81.04
Pierre-Emerick Aubameyang,15,3,16,6,26,2250,3,13,1,0,2,167,8,2,7,78.95
Roberto Firmino,15,11,50,52,32,2526,3,8,1,0,3,1573,21,3,9,76.78
Paulo Dybala,15,2,60,67,42,2856,33,7,1,1,0,1288,100,15,0,87.27
Gabriel Jesus,15,3,29,21,28,1611,0,10,3,2,2,765,25,3,10,82.71
Vincent Aboubakar,14,3,17,23,24,1801,0,3,0,0,3,430,25,3,5,68.27
Erling Braut Haaland,14,1,7,11,21,818,3,4,2,2,1,332,4,9,4,67.58
Arjen Robben,13,7,45,42,27,2904,20,8,0,0,1,599,21,6,0,83.93
Marco Reus,13,6,20,13,20,2454,5,9,1,0,0,655,20,1,4,80.92
Philippe Coutinho,12,8,50,56,37,2030,20,2,1,1,0,1630,39,4,8,83.95
Hulk,12,9,19,34,10,2413,13,0,0,0,1,0,24,3,0,78.07
Arturo Vidal,11,4,39,7,24,4656,6,3,1,0,2,2082,47,1,2,89.43
Romelu Lukaku,11,3,28,30,25,1839,3,12,0,0,2,704,12,7,2,67.73
Luiz Adriano,11,1,9,6,2,1598,1,0,0,0,0,248,13,0,1,73.1
Diego Costa,11,5,15,25,12,2517,2,8,0,0,0,308,33,1,2,77.72
Lorenzo Insigne,11,1,27,35,24,2043,9,5,3,2,0,955,19,0,9,82.51
Jackson Martínez,11,0,1,1,5,1592,1,5,0,0,0,0,2,1,0,65.08
Seydou Doumbia,10,1,9,12,9,880,0,7,2,1,2,31,17,1,2,70.45
Wissam Ben Yedder,10,0,15,8,19,881,1,4,2,2,3,279,11,1,6,78.11
Saúl Ñíguez,10,2,35,49,27,4184,3,3,0,0,3,1541,40,5,2,79.36
Willian,10,6,47,78,18,2944,25,5,0,0,0,718,46,0,9,78.07
Timo Werner,10,3,16,15,23,1178,9,5,6,6,0,637,14,0,10,77.4
Mario Götze,10,4,35,11,8,2567,8,0,0,0,1,735,17,0,2,86.6
Joshua Kimmich,10,12,88,17,16,3650,60,4,0,0,3,2724,59,0,7,90.07
Kingsley Coman,10,9,42,64,21,1749,26,5,0,0,3,911,35,2,5,86.14
Olivier Giroud,10,1,7,2,17,879,0,6,2,2,3,388,12,4,0,65.88
Memphis Depay,9,5,44,27,25,1883,26,7,2,2,0,744,27,3,5,79
Yacine Brahimi,9,7,29,124,12,2711,1,0,0,0,0,803,44,1,2,82.25
